GeoFips,GeoName,2012,2013,2014,2015,2016,2017,2018,2019
1000,Alabama,2.5,1,1.2,-0.3,2,1.2,-1,2.5
2000,Alaska,1.1,0.8,1.7,1.1,1.7,2.5,1.7,0
4000,Arizona,0.8,1.7,0.9,0.1,1.8,1,1.5,1.9
5000,Arkansas,1.9,1.4,1.3,-0.2,1.3,1,0.4,2.1
6000,California,2,1.3,1.6,0.9,0.3,2.7,3,0.7
8000,Colorado,1.6,1.3,1.4,0.2,0.6,2,-0.6,3.7
9000,Connecticut,1.6,1.5,0.7,0.7,0.9,1.4,-0.9,1.3
10000,Delaware,1,0.4,2.5,-1.6,1.6,1.8,2.8,1
11000,District of Columbia,-0.3,3,2,-0.6,0.2,-0.4,3.4,-0.6
12000,Florida,2.1,1,1.5,0.6,0.8,1.6,1.5,0.8
13000,Georgia,3.6,0.8,1.5,-0.1,1.3,2.1,1.5,1
15000,Hawaii,0.5,5,-0.1,1,-0.5,2.3,2.4,2.3
16000,Idaho,1.2,1.5,1.4,0.8,-0.4,3.4,-1,2.3
17000,Illinois,0.9,0.6,0.8,-0.6,1.6,2.5,2.1,0.6
18000,Indiana,2.2,1.5,1.1,-1.1,0.9,1.1,4.1,1.5
19000,Iowa,2.9,1.4,1.5,-1.4,0.9,1.4,5,1.4
20000,Kansas,2.4,0.6,2,-0.2,0.2,1.1,3.1,1.7
21000,Kentucky,2.1,1.5,1.6,-0.2,1,1.1,1,2
22000,Louisiana,2.1,1.3,1.9,-0.4,1.9,0.5,0.3,1.9
23000,Maine,2.7,2.8,-4.5,3.8,2.4,2,2.1,-0.7
24000,Maryland,0.1,2.4,0.8,0.2,0.4,1.3,1.7,0.2
25000,Massachusetts,1.6,0.2,2.6,0.6,4.1,0.9,2.1,1.3
26000,Michigan,1.7,1.5,1.7,-1.7,0.9,0.7,4,2.4
27000,Minnesota,2,1.4,2.3,-0.5,0.6,1.2,5,0.6
28000,Mississippi,1.5,1.7,1.5,-0.6,1.3,1,0.1,1.9
29000,Missouri,1.8,1.7,2,-1,0.4,1.8,2.1,2.2
30000,Montana,0.7,1,3.9,0,-0.2,2.2,0,3.5
31000,Nebraska,2.8,0.8,1.4,-0.5,0.6,0.6,4.4,2.2
32000,Nevada,1.2,-0.5,0.7,-0.4,-0.4,4.5,-1.7,4.2
33000,New Hampshire,1.3,1.2,0.7,2,2.2,2.3,-0.1,1.9
34000,New Jersey,2,1,1.5,0,1.1,1.9,3.7,1.5
35000,New Mexico,1.2,0.3,1.3,0.1,0,3.1,-2.3,2.9
36000,New York,0.7,1.4,0.6,0.8,1.4,1.6,1.7,1.3
37000,North Carolina,1.8,1.5,1.5,-0.1,1.2,1,1.9,0.3
38000,North Dakota,4.6,1.6,1.6,-1.3,1.6,-1.6,4.9,3.6
39000,Ohio,2.8,1.6,1.2,-0.7,1.2,1.2,3.2,1.8
40000,Oklahoma,2.2,1.6,1.7,-0.3,1.2,1.1,0.6,1.1
41000,Oregon,3.2,0.4,1,1.6,-0.5,3.7,5.3,0.6
42000,Pennsylvania,1.4,1.1,0.8,1.2,0.6,3.1,1,1.3
44000,Rhode Island,0.5,2.9,0.3,1.9,0.6,2.5,1.6,1.8
45000,South Carolina,2.1,1.2,1.3,0.3,1.4,0.9,1.4,0.6
46000,South Dakota,5.4,1.2,0.5,-1.6,0.4,1.6,6.7,2.1
47000,Tennessee,2.4,0.9,1.2,0.2,2.1,1,-1.7,3.2
48000,Texas,2.6,1.7,1.7,0,0.8,1.1,2.4,2.2
49000,Utah,1.5,0.5,0.7,-0.1,0.4,3.5,-0.8,2.8
50000,Vermont,2.7,1.8,-1,2.3,-0.8,3.9,1.9,0.8
51000,Virginia,1,2.4,1.3,0.3,0.2,0.2,2.8,-0.5
53000,Washington,1.2,1.3,2.8,0.6,2.2,3.6,1.7,2.2
54000,West Virginia,1.9,2.4,1,1,0.2,0.9,2.5,0.4
55000,Wisconsin,2.5,0.8,1.3,-0.4,0.9,2.1,2.5,2
56000,Wyoming,0.5,2.4,1.5,-0.3,1.8,1.2,-3,3.4
