GeoFips,GeoName,2012,2013,2014,2015,2016,2017,2018,2019
1000,Alabama,1.7,2.3,2.6,2.5,2.8,3.2,3.1,3.9
2000,Alaska,2.4,1.1,3.1,1.7,1.5,3,3.9,2.6
4000,Arizona,2.2,2.4,3.1,2.6,2.5,5.1,4.3,3.2
5000,Arkansas,2.4,2.1,3.8,2.8,3.5,3,4.2,1.8
6000,California,3.2,2.3,3.8,3.9,3.7,4.6,5.6,4.5
8000,Colorado,1.3,3.4,4.4,3.6,3.4,4.7,4.1,4.4
9000,Connecticut,2.3,2.2,3.6,2.7,1.9,3.1,3.7,1.7
10000,Delaware,1.2,1.6,3.4,1.4,1.6,3.1,4.3,2.1
11000,District of Columbia,1.5,2.3,2.8,2.1,1.8,3,5.1,3.4
12000,Florida,2.6,2.1,4.1,3.4,1.9,3.5,4.5,3
13000,Georgia,2.2,2.9,4.2,2.9,2.9,4.2,4.1,3
15000,Hawaii,2,3,2.5,2.1,1.8,4.5,4.2,4.7
16000,Idaho,2.4,3.9,3.3,1.3,3.4,3.5,3.8,2.2
17000,Illinois,2,2.1,3.4,3.1,3,3.5,4.5,2.5
18000,Indiana,3.3,1.7,3,2.2,3,4.5,3.9,2
19000,Iowa,2.4,1.8,3.2,1.3,3,3.3,2.8,2.2
20000,Kansas,1.7,1.3,2.6,2.2,2.3,3,3.4,2.8
21000,Kentucky,2,2,2.7,3.4,3,3.5,4.3,2.2
22000,Louisiana,2.4,2.4,2.9,2.2,2.1,3.3,3.6,2.8
23000,Maine,0.4,2.3,1.6,3.1,4.4,4.5,4.6,2.5
24000,Maryland,1.6,1.4,2.4,1.9,1.9,2.4,3.4,1.7
25000,Massachusetts,1.8,2,3.1,3,2.8,3.9,3.7,3.1
26000,Michigan,3.1,2.8,3.8,3.2,3.6,3.6,3.9,2.7
27000,Minnesota,2.2,2.2,2.8,2.3,2.5,3.6,3.9,1.6
28000,Mississippi,2.1,2.1,2.7,2.5,2.4,2.5,2.6,2
29000,Missouri,3,1.7,2.6,2.5,2.4,3.1,3.8,2.1
30000,Montana,2.3,2.4,3.9,1.3,0.9,3.4,4.8,2.5
31000,Nebraska,2.5,1.5,3,2,2.7,2.7,2.9,2.4
32000,Nevada,1.9,2.6,3.2,2.6,2.9,4.5,4.1,2.9
33000,New Hampshire,2.5,2.5,1.6,3.6,2,4.7,3,2.6
34000,New Jersey,2.3,1.7,2.9,1.9,2.4,2.5,3.6,3.5
35000,New Mexico,1.5,1.7,3.8,2.1,1.9,2.9,4.4,1.2
36000,New York,2.2,2.9,4.4,2.4,2.9,4.1,4.6,3.8
37000,North Carolina,2.9,2.5,3.6,3,2.6,3.8,3.8,3.5
38000,North Dakota,8.2,3.7,3.5,0.1,-0.6,0,3.3,3
39000,Ohio,3.2,3,2.9,2.7,2.6,3.6,3.2,2.6
40000,Oklahoma,2.5,2.2,3.3,0.7,1.5,3,4.2,1.6
41000,Oregon,1.8,2.4,4.1,4,2.7,4.9,4.8,2.9
42000,Pennsylvania,1.9,2.1,2.4,2.5,2,3.3,4.7,2.7
44000,Rhode Island,0.6,2.8,3.5,2.5,2,3.1,3.8,2.7
45000,South Carolina,1.3,2.7,3.4,2.7,3,3,3.3,3.2
46000,South Dakota,3.6,1.9,2.7,2.9,2.9,3.2,4.1,2.5
47000,Tennessee,2,1.4,3.2,2.3,3.2,3.8,3.3,3.5
48000,Texas,3.1,2.8,4.1,2.4,2,3.6,3.6,2.8
49000,Utah,3.4,2.4,4.4,3.1,4.3,4.3,5.4,4.1
50000,Vermont,2.3,1.7,3.2,1.1,1,2.8,5.3,2.1
51000,Virginia,1.8,1.4,2.3,1.5,2,2.3,3.8,2.5
53000,Washington,2.5,2.8,3.6,2.7,3.2,4.3,4.8,3.2
54000,West Virginia,2.6,2.1,2.4,3,3.5,2.4,4.5,2.7
55000,Wisconsin,1.5,2,3.1,2.3,2.6,3.9,3.5,2.7
56000,Wyoming,2.9,2.3,4.9,0.2,2,2.5,3.4,2.4
