GeoFips,GeoName,2012,2013,2014,2015,2016,2017,2018,2019
1000,Alabama,0.2,0.8,1.2,1.4,1.2,1.1,1.6,0.7
2000,Alaska,2,0.4,0,0.1,-1,-0.3,-0.2,0
4000,Arizona,1.7,2.3,2.3,2.9,2.7,2.6,3,1.9
5000,Arkansas,0.2,0.3,1.2,1.5,1.2,0.6,1.1,0.3
6000,California,3.4,3.2,3.2,3.1,2.2,1.6,2.2,0.6
8000,Colorado,1.8,2.9,3.3,3.1,2.6,2.6,2.6,0.9
9000,Connecticut,0.8,1,0.9,1,0.6,0,0.6,-0.7
10000,Delaware,0.7,2,2.2,2.2,1.7,1.1,2.1,1
11000,District of Columbia,0.9,1.7,1.5,1.5,2.2,1.1,1.3,0.1
12000,Florida,2.1,2.8,3.8,3.9,2.8,3.6,3.8,1.6
13000,Georgia,1.1,2.1,3.2,2.9,2.4,2.6,2.6,1.8
15000,Hawaii,1.7,2.2,1.7,2.1,1.5,0.7,0.3,-1.1
16000,Idaho,0.5,2.2,2.5,2.6,2.9,3.2,3.3,2.1
17000,Illinois,0.8,0.9,1.5,1.8,0.7,0.2,0.7,-0.3
18000,Indiana,1.5,1.2,1.5,1.5,1.3,1.5,1.5,0.1
19000,Iowa,0.9,1.3,1,1,0.3,-0.2,0.7,-0.3
20000,Kansas,1.2,1.5,1.4,0.8,0.3,-0.1,0.7,-0.1
21000,Kentucky,0.9,0.8,1.3,1.4,1,0.9,1,0.1
22000,Louisiana,1.4,1.6,1.6,0.4,-0.2,0,1.2,-0.3
23000,Maine,0.3,0.8,0.9,0.7,1.2,0.9,1.2,-0.2
24000,Maryland,1.3,1.6,1.3,1.8,1.6,1,1.5,-0.2
25000,Massachusetts,1.9,2.4,2.2,4.1,1.7,1.5,1.6,0.4
26000,Michigan,1.3,1.7,1.7,1.7,1.3,1,1.5,0
27000,Minnesota,1,1.4,1.4,1.6,1,1,1.1,0.1
28000,Mississippi,0.6,0.8,1.6,0.7,0.8,0.7,0.7,0.2
29000,Missouri,0.6,1.1,0.9,1.6,1.2,1,1.1,0
30000,Montana,1.6,1.4,1.1,1.8,1.1,1,1.4,0.2
31000,Nebraska,1.5,1.2,1.3,1.6,0.6,0.5,1,-0.2
32000,Nevada,1.2,2.8,3,3.5,3.6,3.2,3.8,1.9
33000,New Hampshire,0.7,1.3,1.1,1.9,1.4,1.1,1.1,-0.3
34000,New Jersey,0.7,1.6,1.4,1.8,1.7,1.1,1.9,0.4
35000,New Mexico,0.3,0.8,0.7,0.8,0,0.3,1.4,0.5
36000,New York,1.2,1.6,2.1,2,1.3,1.1,2.1,0.7
37000,North Carolina,1.2,1.5,2.4,2.3,2.3,1.6,2.3,1.5
38000,North Dakota,7.1,3.4,3.5,-1.6,-3.5,-0.6,0.9,0.5
39000,Ohio,1.3,1.1,1.3,1.3,1,0.8,1.1,0.1
40000,Oklahoma,2.4,1.7,1.1,0.6,0,0.2,0.9,-0.1
41000,Oregon,0.8,1.8,2.8,2.9,2.5,2.7,2.1,0.3
42000,Pennsylvania,0.9,0.9,1.1,1,1.1,0.9,1.3,0.1
44000,Rhode Island,0.2,1.6,1.8,2.3,1,0.9,1.5,0.4
45000,South Carolina,1.1,1.9,2.5,2.8,2.4,2.2,3.1,1.4
46000,South Dakota,1.5,1.1,1.4,0.6,0.8,0.7,1.5,0
47000,Tennessee,1.3,1.5,2.3,2.3,2.4,2.1,2.2,1.2
48000,Texas,2.8,2.9,3,2.6,1.6,2.5,2.9,1.7
49000,Utah,2.5,2.8,2.9,3.4,3.6,3.2,3.7,1.6
50000,Vermont,1.2,0.7,0.9,0.8,0.3,0.5,0.4,-1
51000,Virginia,1.1,0.9,1.1,2.2,1.9,1.4,1.3,0.6
53000,Washington,2.5,2.1,2.6,2.6,2.7,2.7,2.4,1.2
54000,West Virginia,1.1,-0.5,-0.3,-0.8,-1.6,-0.2,1,-1.8
55000,Wisconsin,0.7,1.1,1.3,1.1,0.9,0.6,1.1,-0.1
56000,Wyoming,1.6,1,1.5,-0.1,-1.9,0.2,1.4,0.8
