state,2012,2013,2014,2015,2016,2017,2018,2019
AK,7.12,6.93,6.74,6.31,6.62,6.61,6.08,5.63
AL,8.16,7.35,6.77,6.09,5.78,4.52,3.91,3.2
AR,7.24,7.05,5.87,4.97,3.98,3.74,3.63,3.49
AZ,8.4,7.84,6.83,6.12,5.48,4.95,4.81,4.8
CA,10.39,9.03,7.56,6.24,5.52,4.83,4.26,4.1
CO,7.97,6.75,4.98,3.71,3.12,2.61,3.05,2.67
CT,8.38,7.95,6.62,5.62,4.85,4.41,3.88,3.57
DC,8.95,8.44,7.72,6.91,6.2,6.13,5.69,5.55
DE,6.96,6.53,5.62,4.83,4.52,4.42,3.68,3.57
FL,8.66,7.52,6.45,5.52,4.89,4.27,3.65,3.25
GA,9.02,8.13,7.14,6.07,5.44,4.77,3.98,3.6
HI,5.79,4.73,4.23,3.41,2.9,2.24,2.39,2.53
IA,5.02,4.74,4.27,3.73,3.59,3.09,2.58,2.67
ID,7.52,6.94,4.42,3.93,3.71,3.19,2.88,2.89
IL,9.01,9.1,7.14,6.02,5.88,4.96,4.38,3.98
IN,8.19,7.52,5.95,4.82,4.37,3.53,3.43,3.32
KS,5.67,5.31,4.53,4.18,4.06,3.64,3.31,3.17
KY,8.21,7.93,6.43,5.25,5.05,4.76,4.19,4.11
LA,6.7,6.42,6.23,6.25,6.04,5.13,4.83,4.64
MA,6.68,6.67,5.74,4.78,4.01,3.84,3.47,3.05
MD,6.88,6.57,5.73,5.05,4.24,4.07,3.79,3.38
ME,7.22,6.7,5.59,4.41,3.81,3.4,3.18,2.89
MI,9.08,8.78,7.21,5.41,4.97,4.58,4.17,4.08
MN,5.68,5.03,4.24,3.78,3.87,3.46,3.0,3.31
MO,7.11,6.75,6.18,5.12,4.55,3.78,3.23,3.23
MS,8.81,8.51,7.61,6.48,5.95,5.2,4.93,5.48
MT,5.8,5.34,4.63,4.28,4.28,4.08,3.73,3.52
NC,9.61,7.78,6.12,5.68,5.08,4.53,4.01,3.85
ND,2.93,2.88,2.67,2.78,3.05,2.61,2.4,2.18
NE,3.91,3.71,3.24,2.98,3.13,2.94,2.91,3.1
NH,5.48,5.26,4.3,3.41,2.87,2.81,2.63,2.56
NJ,9.45,8.4,6.7,5.73,4.95,4.52,4.01,3.48
NM,6.94,6.88,6.55,6.62,6.76,6.12,4.95,4.99
NV,11.5,9.97,8.2,6.9,5.83,5.02,4.41,4.14
NY,8.64,7.84,6.28,5.23,4.88,4.64,4.08,3.88
OH,7.38,7.38,5.82,4.97,5.04,4.94,4.47,4.12
OK,5.08,5.12,4.35,4.29,4.63,4.03,3.27,3.13
OR,8.69,7.76,6.68,5.48,4.77,4.05,4.02,3.71
PA,7.57,7.07,5.97,5.44,5.33,4.97,4.41,4.31
RI,10.3,9.48,7.76,6.04,5.23,4.48,4.03,3.52
SC,9.02,7.45,6.28,5.91,4.88,4.19,3.36,2.78
SD,4.02,3.71,3.37,3.03,3.0,3.02,2.74,2.74
TN,7.93,7.66,6.55,5.55,4.73,3.75,3.48,3.34
TX,6.69,6.34,5.18,4.48,4.64,4.35,3.89,3.53
UT,4.76,4.18,3.62,3.53,3.34,3.15,2.92,2.53
VA,5.83,5.54,5.08,4.36,4.02,3.63,2.99,2.74
VT,4.79,4.43,3.9,3.47,3.09,2.93,2.51,2.11
WA,8.45,6.68,5.93,5.48,5.17,4.66,4.39,4.2
WI,6.92,6.7,5.34,4.46,3.91,3.27,3.01,3.21
WV,7.2,6.71,6.5,6.54,6.08,5.22,5.14,4.95
