GeoFips,GeoName,2012,2013,2014,2015,2016,2017,2018,2019
1000,Alabama,90.515,90.273,90.137,89.706,90.58,90.098,87.388,88.297
2000,Alaska,102.597,102.079,102.412,103.331,104.075,104.864,104.552,103.039
4000,Arizona,98.044,98.415,97.934,97.871,98.588,97.873,97.344,97.773
5000,Arkansas,89.354,89.445,89.357,88.98,89.275,88.607,87.156,87.742
6000,California,109.649,109.638,109.887,110.644,109.866,110.925,111.972,111.132
8000,Colorado,103.152,103.118,103.076,103.084,102.713,102.957,100.29,102.499
9000,Connecticut,107.542,107.703,107.01,107.612,107.521,107.18,104.057,103.941
10000,Delaware,99.53,98.591,99.704,97.946,98.499,98.564,99.26,98.822
11000,District of Columbia,111.696,113.585,114.291,113.386,112.475,110.087,111.51,109.225
12000,Florida,101.046,100.718,100.856,101.256,101.055,100.871,100.315,99.647
13000,Georgia,95.243,94.787,94.903,94.667,94.932,95.292,94.819,94.395
15000,Hawaii,108.37,112.299,110.592,111.515,109.881,110.447,110.831,111.781
16000,Idaho,93.491,93.679,93.701,94.308,92.998,94.544,91.703,92.445
17000,Illinois,100.982,100.238,99.686,98.932,99.535,100.28,100.323,99.466
18000,Indiana,92.784,92.926,92.696,91.483,91.423,90.884,92.737,92.827
19000,Iowa,90.843,90.94,91.07,89.632,89.56,89.257,91.841,91.814
20000,Kansas,93.313,92.63,93.188,92.873,92.132,91.563,92.508,92.764
21000,Kentucky,90.646,90.845,91.025,90.699,90.648,90.031,89.074,89.591
22000,Louisiana,92.878,92.889,93.373,92.81,93.58,92.392,90.769,91.156
23000,Maine,97.011,98.392,92.632,95.984,97.318,97.608,97.683,95.618
24000,Maryland,107.41,108.543,107.909,107.944,107.262,106.743,106.355,105.086
25000,Massachusetts,104.444,103.316,104.535,104.948,108.185,107.258,107.264,107.165
26000,Michigan,95.019,95.232,95.485,93.725,93.631,92.704,94.458,95.356
27000,Minnesota,97.391,97.487,98.338,97.713,97.273,96.765,99.577,98.751
28000,Mississippi,88.521,88.843,88.92,88.233,88.469,87.808,86.166,86.521
29000,Missouri,92.456,92.837,93.373,92.296,91.704,91.718,91.792,92.522
30000,Montana,93.207,92.881,95.172,95.01,93.866,94.244,92.371,94.25
31000,Nebraska,92.325,91.876,91.839,91.256,90.869,89.833,91.88,92.542
32000,Nevada,101.595,99.816,99.16,98.588,97.172,99.827,96.198,98.847
33000,New Hampshire,102.937,102.84,102.144,103.956,105.144,105.765,103.53,104.02
34000,New Jersey,109.42,109.077,109.154,108.99,109.111,109.323,111.078,111.183
35000,New Mexico,96.483,95.561,95.469,95.414,94.452,95.72,91.625,92.981
36000,New York,109.733,109.791,108.954,109.666,110.138,109.945,109.587,109.418
37000,North Carolina,93.471,93.683,93.788,93.552,93.771,93.056,92.916,91.871
38000,North Dakota,92.068,92.349,92.576,91.178,91.708,88.706,91.212,93.203
39000,Ohio,93.037,93.285,93.064,92.269,92.408,91.938,92.932,93.284
40000,Oklahoma,91.179,91.465,91.779,91.327,91.48,90.916,89.659,89.329
41000,Oregon,101.112,100.146,99.747,101.144,99.595,101.486,104.706,103.816
42000,Pennsylvania,98.025,97.858,97.25,98.205,97.815,99.123,98.133,97.958
44000,Rhode Island,99.934,101.54,100.436,102.176,101.725,102.476,102.076,102.407
45000,South Carolina,93.36,93.258,93.198,93.289,93.609,92.868,92.261,91.494
46000,South Dakota,90.38,90.265,89.448,87.89,87.387,87.275,91.253,91.833
47000,Tennessee,93.362,92.944,92.747,92.777,93.781,93.074,89.66,91.255
48000,Texas,97.646,98.048,98.364,98.223,98.024,97.372,97.745,98.503
49000,Utah,99.423,98.575,97.934,97.656,97.082,98.708,95.977,97.259
50000,Vermont,100.05,100.497,98.076,100.159,98.332,100.398,100.239,99.616
51000,Virginia,102.471,103.515,103.455,103.591,102.805,101.267,102.018,100.056
53000,Washington,102.509,102.45,103.861,104.344,105.555,107.451,107.124,107.979
54000,West Virginia,89.267,90.2,89.834,90.535,89.796,89.026,89.427,88.521
55000,Wisconsin,94.356,93.911,93.832,93.314,93.234,93.54,93.951,94.472
56000,Wyoming,96.284,97.35,97.424,96.972,97.747,97.185,92.345,94.12
