GeoFips,GeoName,2012,2013,2014,2015,2016,2017,2018,2019
1000,Alabama,1.1,1.6,-0.4,1.4,1.9,1.8,1.9,2
2000,Alaska,5.6,-4.3,-2.4,0.7,-0.4,0.2,-2,-0.2
4000,Arizona,2.3,0.6,1,2.3,3.4,4.4,4,3.8
5000,Arkansas,1.2,2.8,1.3,0.1,1.2,0.7,2,0.7
6000,California,2.9,3.8,3.8,4.8,3.1,4.5,4,4.2
8000,Colorado,1.9,4.2,4.6,4.8,2.2,3.7,4.3,5.1
9000,Connecticut,0.8,-1.8,0.7,3.2,-0.3,2.1,0.3,0.2
10000,Delaware,-0.8,-2.7,7.7,3,-5.6,-3.3,1.9,5.3
11000,District of Columbia,0.8,0.4,2.2,1.8,2.4,1.6,2.8,0.6
12000,Florida,1,2.6,2.9,4.4,3.5,3.7,3.5,3.3
13000,Georgia,1.6,2.2,3.5,4.4,4,3.9,3,3.3
15000,Hawaii,2,2.3,1,3.1,2.2,2.1,1.6,0
16000,Idaho,-1.1,4.5,3.1,1.5,3.9,3.5,6.5,4.5
17000,Illinois,2.4,0.6,2,1.7,0.1,0.8,2.2,0.8
18000,Indiana,0.7,2.9,3.2,-0.8,2.1,2.6,3.1,0.5
19000,Iowa,3.9,0.1,5.4,3.1,0.4,0.2,1.1,-0.4
20000,Kansas,1.5,0.4,2.3,2.9,3.8,1,2.1,-0.1
21000,Kentucky,1.9,2.4,0,1.4,0.8,1.3,1.2,2.8
22000,Louisiana,0.5,-2.4,2.8,-1.4,-1.7,1.8,2.2,0.6
23000,Maine,-0.4,-0.3,1,1.6,2.4,1.6,2.9,3
24000,Maryland,0.4,0.8,1.6,2.3,3.5,2,0.7,0
25000,Massachusetts,2.2,0.8,1.9,3.7,1.4,1.6,3.6,3.1
26000,Michigan,2.1,2,1.4,2.3,1.9,1,2.3,0.8
27000,Minnesota,1.9,2.7,2.7,2,1.5,1.2,2.8,1.3
28000,Mississippi,2,0.4,0.2,0.1,0.5,0.3,-0.1,0.9
29000,Missouri,1.2,1.9,0.5,1.4,0.1,0.9,0.9,2.3
30000,Montana,1.8,1.8,2.3,3.5,-1.2,2.7,2,1.6
31000,Nebraska,0,1.5,3.8,3.4,1.4,1.6,1.9,1.6
32000,Nevada,-0.9,1.1,0.5,4,3.3,4.6,3.3,4.4
33000,New Hampshire,0.8,1.9,1.8,3.2,1.8,0.5,1.3,2.6
34000,New Jersey,2.2,1.8,0,1.9,1,0.5,2.8,1.9
35000,New Mexico,0.2,-0.7,2.8,1,-0.5,0.2,3.1,4.4
36000,New York,3.9,0.4,2.2,2,1.6,2.2,2.5,2.4
37000,North Carolina,0.8,1.9,2.5,3,2.1,2,1.8,2
38000,North Dakota,23.2,2.6,10.1,-2.5,-6.7,3.2,3.5,1.5
39000,Ohio,1.1,2.8,3.6,1.3,0.8,2.2,0.6,2.7
40000,Oklahoma,5,2.4,6,3.9,-1.9,1.3,1.8,2.1
41000,Oregon,0.7,1.2,3.3,5,4.5,5,3.9,2.3
42000,Pennsylvania,1.9,2.2,2.1,2.2,1.5,1.3,1.3,1
44000,Rhode Island,0.8,1,1,1.4,0.4,0.2,-0.1,2.4
45000,South Carolina,1.1,2.4,3,3.5,3.4,2,3,3.2
46000,South Dakota,2.1,-0.1,2.1,2.5,0.8,0.7,0.6,1.1
47000,Tennessee,3.4,2.1,1.7,3.6,2.4,3.5,2,2.2
48000,Texas,5,5.1,3.2,4.8,0,2,4.8,3.4
49000,Utah,1.7,3.1,3.5,3.6,4.6,5.9,5.8,5.9
50000,Vermont,0.7,-1.3,1.1,0.6,0.8,0.9,0.7,1.6
51000,Virginia,0.7,1.2,0,2.1,1.2,2,2.4,2.5
53000,Washington,3.6,3.1,3.8,4.5,4,6.3,6.6,4.8
54000,West Virginia,-0.1,1.1,0.2,0.2,-1,2.3,3,-0.3
55000,Wisconsin,1.8,0.9,2.6,2,1.1,0.8,2.2,1.3
56000,Wyoming,-2.2,0.9,2.3,2,-5.5,-0.6,0.9,1.6
91000,New England,1.4,0,1.4,3.1,1,1.6,2.2,2.2
92000,Mideast,2.5,1,1.8,2,1.5,1.5,2.1,1.7
93000,Great Lakes,1.7,1.7,2.5,1.4,1,1.4,2,1.3
94000,Plains,2.6,1.6,2.9,2.1,0.9,1.1,1.9,1.1
95000,Southeast,1.3,1.7,2,2.8,2.2,2.6,2.5,2.5
96000,Southwest,4.4,4,3.1,4.2,0.3,2.2,4.3,3.4
97000,Rocky Mountain,1.2,3.5,3.9,3.9,2.2,3.9,4.6,4.8
98000,Far West,2.7,3.2,3.4,4.6,3.2,4.6,4.2,4
