GeoFips,GeoName,2012,2013,2014,2015,2016,2017,2018,2019
1000,Alabama,-0.6,-0.6,1.6,4.3,-0.6,2.1,4.4,1.5
2000,Alaska,0.6,-2.8,3.7,1.9,-3.7,-0.7,2.6,2.6
4000,Arizona,2.3,-0.2,2.7,4.2,1.5,4,3.1,3.4
5000,Arkansas,4.2,-1.4,4,3,1,2.1,3.5,-0.5
6000,California,2.9,-0.7,3.6,5.4,3.5,1.5,1.7,4.6
8000,Colorado,2.3,2.2,5.3,2.1,-0.8,3.5,7.3,2.3
9000,Connecticut,-0.6,-3.9,3.2,2,1.1,0.9,5.3,1.4
10000,Delaware,-1,0,0.7,5.9,0.5,1.9,2.5,1.1
11000,District of Columbia,1.1,-3.6,3,6.7,3.5,3.1,0,2.3
12000,Florida,-0.2,-2.1,3.6,4.3,0.9,4.3,3.7,4.4
13000,Georgia,-2.2,-0.2,3.9,5.1,1.7,2.7,2.4,3.1
15000,Hawaii,1.3,-4.7,4.5,2.7,3.5,1.7,-0.3,2.3
16000,Idaho,2.9,1,2.5,3.8,2.6,0.5,6,3.7
17000,Illinois,3.3,1.2,3,5.1,-0.3,0.8,3.5,2.4
18000,Indiana,1.6,-0.7,2.1,4.7,1.5,2.2,0.3,2.1
19000,Iowa,1.1,-0.3,1,4.5,-0.4,1,-0.7,0.4
20000,Kansas,2.2,1.1,-0.6,0.9,0.1,2.2,1,2
21000,Kentucky,0.8,-1.2,2.5,4.4,0.5,1.7,2.1,2.3
22000,Louisiana,2.2,-0.5,1.8,0.3,-2.6,2.8,4.3,1.5
23000,Maine,-1.4,-2.8,7.9,0.6,0.6,1.7,1.8,5.5
24000,Maryland,1.2,-3.5,1.5,3.5,2.5,1.6,1.1,2.8
25000,Massachusetts,1.1,-0.5,1,5.3,-0.9,3.2,2.6,3.2
26000,Michigan,1.9,-0.9,2.2,7.1,1.7,2,0,0.7
27000,Minnesota,3,-1.4,1.8,4.6,0.7,2.3,-0.6,2.4
28000,Mississippi,1.5,-0.1,0.4,2,0.3,1.7,2.7,2.1
29000,Missouri,2.3,-1.4,1.1,4.2,2.4,0.4,2,1.4
30000,Montana,4.6,-1.1,0.3,3,0.7,2.6,4,1.6
31000,Nebraska,-1.1,-1.8,3.6,3.7,-2.6,1.2,-0.5,1.8
32000,Nevada,1.5,-0.4,3.8,7,2.6,0.6,6.6,1.1
33000,New Hampshire,2,-1.8,2.4,2.2,0.7,1.6,4.3,4
34000,New Jersey,0.6,-0.8,2.2,3.6,1.3,1.3,0.3,3.6
35000,New Mexico,0.5,-2.7,4.4,2.3,2,-1.2,7,2.5
36000,New York,2.9,-0.9,2.4,3.1,1.7,4.9,1.5,2.2
37000,North Carolina,3.7,-3.6,3.2,4.5,1.1,2.8,2.2,4.7
38000,North Dakota,9.6,-4.6,2.6,-5.2,-4.6,2.7,1.4,-0.9
39000,Ohio,0.7,-0.4,2.6,4.3,0.6,2.2,0.5,1.4
40000,Oklahoma,3.3,2.4,3.4,-3.2,-6.1,3.2,4.2,3.5
41000,Oregon,1,0.5,4.5,4.4,3.5,0.9,0.2,3.3
42000,Pennsylvania,2,-0.6,2.6,2.7,2,-0.5,3.9,1.8
44000,Rhode Island,2.2,-3.3,3.1,1.1,0.4,1.4,1.7,3.9
45000,South Carolina,1.9,-0.9,3.7,4.6,1.6,3.1,1.9,4.7
46000,South Dakota,-4.2,-1.2,3.4,5.1,-0.4,0.7,-2.2,3.3
47000,Tennessee,1.2,-0.8,1.7,4.1,0.3,2.4,6.4,2
48000,Texas,1.9,-0.5,3.5,0,-2.7,4.7,3.3,1.5
49000,Utah,3.2,0.9,3.4,6.2,3.2,0.7,6.4,3
50000,Vermont,-0.2,-0.8,4.6,0.3,2.4,-1.4,1.4,4.1
51000,Virginia,2.1,-4,1.9,3.4,1.8,3.1,0.4,4.5
53000,Washington,5,-0.4,3,3.6,1.4,1,3.5,3.7
54000,West Virginia,0.2,-2.7,2.3,1.3,-0.1,3.9,2.9,3.5
55000,Wisconsin,1.3,-0.7,2.1,4.4,0.6,1.6,2,1.6
56000,Wyoming,5.4,-3.8,4.9,0.1,-6.5,4.3,8.3,1
