Model,Leaky Variables,AUC,Precision,Recall,F1 Score,Accuracy
Random Forest,With,0.9627,0.9626,0.2376,0.3811,0.863
Random Forest,Without,0.8027,0.4424,0.5438,0.4876,0.8063
XGBoost,With,0.9672,0.9242,0.9095,0.9168,0.9828
XGBoost,Without,0.7091,0.3902,0.6043,0.4745,0.7631
Logit,With,0.9582,0.9301,0.5847,0.7179,0.9278
Logit,Without,0.6804,0.4029,0.5341,0.4587,0.7911
MLP,With,0.9526,0.9039,0.8629,0.8829,0.9662
MLP,Without,0.6947,0.4142,0.5527,0.473,0.7891
LSTM,With,0.9485,0.9222,0.8387,0.8785,0.9666
LSTM,Without,0.6923,0.4084,0.5509,0.4688,0.7863
